Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
03-09-2015,Vistaar Finance,Small Business Financing (NBFC),UnDisclosed,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,40000000
03-09-2015,HiJinny,Beauty & Wellness Services Marketplace,UnDisclosed,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,0
04-09-2015,Clapsnslaps,Online Movie Review Platform,UnDisclosed,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000
04-09-2015,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,UnDisclosed,Mumbai,Ashish Jhalani,Seed Funding,100000
04-09-2015,RoomCentral,Cloud-based Hotel Booking Platform,UnDisclosed,Bangalore,Karanpal Singh,Seed Funding,2000000
07-09-2015,YouthKiAwaaz,Community Driven News/Views Platform,UnDisclosed,Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000
07-09-2015,Prozo,Study Material Marketplace,UnDisclosed,Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000
07-09-2015,Zomato,Restaurant Ratings & Reviews platform,UnDisclosed,Gurugram,"Temasek, Vy Capital",Private Equity,60000000
07-09-2015,Sahayog Dairy,Dairy Based Product Manufacturer,UnDisclosed,Bhopal,Acumen Fund,Private Equity,1800000
08-09-2015,MockBank,Government Test Preparation platform,UnDisclosed,Bangalore,Blume Ventures,Seed Funding,400000
08-09-2015,ReportBee,Smart Report Cards for Schools,UnDisclosed,Chennai,India Educational Investment Fund,Seed Funding,0
08-09-2015,GuruG Learning,Teacher empowerment platform,UnDisclosed,Bangalore,India Educational Investment Fund,Seed Funding,0
10-09-2015,OnlineTyari,Multilingual Test Preparation Platform,UnDisclosed,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000
10-09-2015,IndustryBuying,Industrial Tools Marketplace,UnDisclosed,Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000
10-09-2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,UnDisclosed,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000
11-09-2015,FitMeIn,Gym & Fitness Studios Subscription platform,UnDisclosed,Delhi,Green House Ventures,Seed Funding,100000
11-09-2015,Envoged,pre-used luxury item Marketplace,UnDisclosed,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,0
11-09-2015,Zapyle,pre-used apparel shopping mobile app,UnDisclosed,Bangalore,nan,Seed Funding,1000000
11-09-2015,Renomania,Home Design & D\\xc3\\xa9cor platform,UnDisclosed,Delhi,Subodh Gupta,Seed Funding,0
12-09-2015,CredR,Used Vehicles Marketplace,UnDisclosed,Mumbai,Eight Road Ventures,Private Equity,15000000
12-09-2015,YatraGenie,Online Bus & Cab ticketing platform,UnDisclosed,Hyderabad,Ash Bhardwaj,Private Equity,0
14-09-2015,CanvasFlip,Mobile App testing platform,UnDisclosed,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000
14-09-2015,Shadowfax,Hyperlocal Delivery Services,UnDisclosed,Gurugram,Eight Roads Ventures,Private Equity,9000000
14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,UnDisclosed,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000
